https://support.microsoft.com/ja-jp/help/285059/how-to-create-a-table-of-contents-by-marking-text-in-wordを参照してください	0
https://support.microsoft.com/ja-jp/help/400264を参照して下さい	1
Mac 上のブラウザから、マイアカウント ページにアクセスして、[インストール] をクリックします。	2
Office365ポータルにアクセスしてください	3
インストール対象のデバイスから、マイアカウントページにログインして、[インストール]をクリックすることで、Officeのインストール/再インストールが開始されます。	4
おはよう	5
クラウド とは、組織の外部でホストされる Web ベースのコンピューティング サービスの名称です	6
ご使用のPCおよびネットワーク環境によりインストール準備の画面が表示されるまでに、しばらくお時間がかかる場合がございます。インストールが開始されるまで、そのまましばらくお待ちください。	7
現時点で Android タブレットでは、Office Mobile はサポートされていません。	8
詳細はhttps://products.office.com/ja-jp/business/microsoft-office-365-frequently-asked-questionsを参照してください	9
